Date,NIFTY,GOLD,USDINR,CRUDE,GSEC10Y
2022-03-10,16594.900390625,1998.0999755859375,76.13490295410156,106.0199966430664,
2022-03-11,16630.44921875,1982.699951171875,76.310302734375,109.33000183105469,
2022-03-14,16871.30078125,1959.5999755859375,76.75370025634766,103.01000213623047,
2022-03-15,16663.0,1928.5,76.49009704589844,96.44000244140625,
2022-03-16,16975.349609375,1908.0,76.26589965820312,95.04000091552734,
2022-03-17,17287.05078125,1942.0999755859375,76.02420043945312,102.9800033569336,
2022-03-18,17287.05078125,1928.199951171875,75.98159790039062,104.69999694824219,
2022-03-21,17117.599609375,1928.5999755859375,75.94640350341797,112.12000274658203,
2022-03-22,17315.5,1920.699951171875,76.30709838867188,111.76000213623047,
2022-03-23,17245.650390625,1936.5999755859375,76.10189819335938,114.93000030517578,
2022-03-24,17222.75,1961.5999755859375,76.55239868164062,112.33999633789062,
2022-03-25,17153.0,1953.800048828125,76.32350158691406,113.9000015258789,
2022-03-28,17222.0,1939.5999755859375,76.27850341796875,105.95999908447266,
2022-03-29,17325.30078125,1912.0,76.03410339355469,104.23999786376953,
2022-03-30,17498.25,1933.5,75.66670227050781,107.81999969482422,
2022-03-31,17464.75,1949.199951171875,75.82779693603516,100.27999877929688,
2022-04-01,17670.44921875,1919.0999755859375,75.9092025756836,99.2699966430664,
2022-04-04,18053.400390625,1929.199951171875,75.99479675292969,103.27999877929688,
2022-04-05,17957.400390625,1922.9000244140625,75.47799682617188,101.95999908447266,
2022-04-06,17807.650390625,1918.4000244140625,75.45069885253906,96.2300033569336,
2022-04-07,17639.55078125,1933.800048828125,75.94509887695312,96.02999877929688,
2022-04-08,17784.349609375,1941.5999755859375,75.91320037841797,98.26000213623047,
2022-04-11,17674.94921875,1944.300048828125,75.91729736328125,94.29000091552734,
2022-04-12,17530.30078125,1972.0999755859375,75.83699798583984,100.5999984741211,
2022-04-13,17475.650390625,1981.0,76.1498031616211,104.25,
2022-04-14,17475.650390625,1970.9000244140625,76.12169647216797,106.94999694824219,
2022-04-15,17475.650390625,1970.9000244140625,76.30879974365234,106.94999694824219,
2022-04-18,17173.650390625,1982.9000244140625,76.3313980102539,108.20999908447266,
2022-04-19,16958.650390625,1955.699951171875,76.28019714355469,102.55999755859375,
2022-04-20,17136.55078125,1952.300048828125,76.44539642333984,102.75,
2022-04-21,17392.599609375,1944.9000244140625,76.27619934082031,103.79000091552734,
2022-04-22,17171.94921875,1931.0,76.28520202636719,102.06999969482422,
2022-04-25,16953.94921875,1893.199951171875,76.4635009765625,98.54000091552734,
2022-04-26,17200.80078125,1901.4000244140625,76.52780151367188,101.69999694824219,
2022-04-27,17038.400390625,1885.9000244140625,76.79409790039062,102.0199966430664,
2022-04-28,17245.05078125,1888.699951171875,76.47219848632812,105.36000061035156,
2022-04-29,17102.55078125,1909.300048828125,76.58899688720703,104.69000244140625,
2022-05-02,17069.099609375,1861.800048828125,76.52310180664062,105.16999816894531,
2022-05-03,17069.099609375,1868.800048828125,76.52410125732422,102.41000366210938,
2022-05-04,16677.599609375,1867.0,76.46730041503906,107.80999755859375,
2022-05-05,16682.650390625,1874.0,76.00160217285156,108.26000213623047,
2022-05-06,16411.25,1881.199951171875,76.54180145263672,109.7699966430664,
2022-05-09,16301.849609375,1857.0999755859375,76.9574966430664,103.08999633789062,
2022-05-10,16240.0498046875,1839.9000244140625,77.3655014038086,99.76000213623047,
2022-05-11,16167.099609375,1852.5999755859375,77.27140045166016,105.70999908447266,
2022-05-12,15808.0,1823.800048828125,77.41840362548828,106.12999725341797,
2022-05-13,15782.150390625,1807.4000244140625,77.44380187988281,110.48999786376953,
2022-05-16,15842.2998046875,1813.5,77.48629760742188,114.19999694824219,
2022-05-17,16259.2998046875,1818.199951171875,77.8053970336914,112.4000015258789,
2022-05-18,16240.2998046875,1815.9000244140625,77.37239837646484,109.58999633789062,
2022-05-19,15809.400390625,1841.199951171875,77.81999969482422,112.20999908447266,
2022-05-20,16266.150390625,1841.800048828125,77.42109680175781,113.2300033569336,
2022-05-23,16214.7001953125,1847.800048828125,77.81839752197266,110.29000091552734,
2022-05-24,16125.150390625,1865.0999755859375,77.52680206298828,109.7699966430664,
2022-05-25,16025.7998046875,1846.199951171875,77.47879791259766,110.33000183105469,
2022-05-26,16170.150390625,1847.4000244140625,77.49729919433594,114.08999633789062,
2022-05-27,16352.4501953125,1851.300048828125,77.63020324707031,115.06999969482422,
2022-05-30,16661.400390625,1851.300048828125,77.69200134277344,115.06999969482422,
2022-05-31,16584.55078125,1842.699951171875,77.5208969116211,114.66999816894531,
2022-06-01,16522.75,1843.300048828125,77.5989990234375,115.26000213623047,
2022-06-02,16628.0,1866.5,77.58409881591797,116.87000274658203,
2022-06-03,16584.30078125,1845.4000244140625,77.3604965209961,118.87000274658203,
2022-06-06,16569.55078125,1839.199951171875,77.69419860839844,118.5,
2022-06-07,16416.349609375,1847.5,77.82099914550781,119.41000366210938,
2022-06-08,16356.25,1851.9000244140625,77.67060089111328,122.11000061035156,
2022-06-09,16478.099609375,1848.800048828125,77.72429656982422,121.51000213623047,
2022-06-10,16201.7998046875,1871.5,77.8187026977539,120.66999816894531,
2022-06-13,15774.400390625,1828.0,78.17759704589844,120.93000030517578,
2022-06-14,15732.099609375,1809.5,78.16059875488281,118.93000030517578,
2022-06-15,15692.150390625,1815.300048828125,77.9854965209961,115.30999755859375,
2022-06-16,15360.599609375,1845.699951171875,77.90019989013672,117.58999633789062,
2022-06-17,15293.5,1835.5999755859375,77.97769927978516,109.55999755859375,
2022-06-20,15350.150390625,1835.5999755859375,77.9614028930664,109.55999755859375,
2022-06-21,15638.7998046875,1834.5999755859375,77.93399810791016,110.6500015258789,
2022-06-22,15413.2998046875,1834.300048828125,78.13490295410156,106.19000244140625,
2022-06-23,15556.650390625,1825.699951171875,78.19309997558594,104.2699966430664,
2022-06-24,15699.25,1826.5,78.14240264892578,107.62000274658203,
2022-06-27,15832.0498046875,1820.9000244140625,78.2522964477539,109.56999969482422,
2022-06-28,15850.2001953125,1817.5,78.44110107421875,111.76000213623047,
2022-06-29,15799.099609375,1813.699951171875,79.07319641113281,109.77999877929688,
2022-06-30,15780.25,1804.0999755859375,78.89830017089844,105.76000213623047,
2022-07-01,15752.0498046875,1798.9000244140625,78.96299743652344,108.43000030517578,
2022-07-04,15835.349609375,1798.9000244140625,78.95069885253906,108.43000030517578,
2022-07-05,15810.849609375,1761.800048828125,78.93949890136719,99.5,
2022-07-06,15989.7998046875,1734.9000244140625,79.36840057373047,98.52999877929688,
2022-07-07,16132.900390625,1737.9000244140625,79.04389953613281,102.7300033569336,
2022-07-08,16220.599609375,1740.5999755859375,79.22160339355469,104.79000091552734,
2022-07-11,16216.0,1730.0,79.3313980102539,104.08999633789062,
2022-07-12,16058.2998046875,1723.300048828125,79.47779846191406,95.83999633789062,
2022-07-13,15966.650390625,1734.199951171875,79.47640228271484,96.30000305175781,
2022-07-14,15938.650390625,1704.5,79.80750274658203,95.77999877929688,
2022-07-15,16049.2001953125,1702.4000244140625,79.87830352783203,97.58999633789062,
2022-07-18,16278.5,1709.199951171875,79.72049713134766,102.5999984741211,
2022-07-19,16340.5498046875,1710.0,80.0302963256836,104.22000122070312,
2022-07-20,16520.849609375,1699.5,79.85590362548828,102.26000213623047,
2022-07-21,16605.25,1712.699951171875,80.00340270996094,96.3499984741211,
2022-07-22,16719.44921875,1727.0999755859375,79.7759017944336,94.69999694824219,
2022-07-25,16631.0,1719.0,79.87680053710938,96.69999694824219,
2022-07-26,16483.849609375,1717.699951171875,79.72250366210938,94.9800033569336,
2022-07-27,16641.80078125,1719.0999755859375,79.84120178222656,97.26000213623047,
2022-07-28,16929.599609375,1750.300048828125,79.84739685058594,96.41999816894531,
2022-07-29,17158.25,1762.9000244140625,79.57150268554688,98.62000274658203,
2022-08-01,17340.05078125,1769.0,79.1948013305664,93.88999938964844,
2022-08-02,17345.44921875,1771.0999755859375,78.95570373535156,94.41999816894531,
2022-08-03,17388.150390625,1758.0,78.60449981689453,90.66000366210938,
2022-08-04,17382.0,1788.5,79.11830139160156,88.54000091552734,
2022-08-05,17397.5,1772.9000244140625,79.15489959716797,89.01000213623047,
2022-08-08,17525.099609375,1786.800048828125,79.41059875488281,90.76000213623047,
2022-08-09,17525.099609375,1794.0,79.60189819335938,90.5,
2022-08-10,17534.75,1795.5999755859375,79.57839965820312,91.93000030517578,
2022-08-11,17659.0,1789.699951171875,79.0978012084961,94.33999633789062,
2022-08-12,17698.150390625,1798.5999755859375,79.61399841308594,92.08999633789062,
2022-08-15,17698.150390625,1781.4000244140625,79.62760162353516,89.41000366210938,
2022-08-16,17825.25,1773.199951171875,79.55290222167969,86.52999877929688,
2022-08-17,17944.25,1760.300048828125,79.14600372314453,88.11000061035156,
2022-08-18,17956.5,1755.300048828125,79.35970306396484,90.5,
2022-08-19,17758.44921875,1747.5999755859375,79.7667007446289,90.7699966430664,
2022-08-22,17490.69921875,1734.0,79.91790008544922,90.2300033569336,
2022-08-23,17577.5,1746.800048828125,79.88379669189453,93.73999786376953,
2022-08-24,17604.94921875,1747.800048828125,79.85449981689453,94.88999938964844,
2022-08-25,17522.44921875,1757.699951171875,79.79679870605469,92.5199966430664,
2022-08-26,17558.900390625,1736.0999755859375,79.88289642333984,93.05999755859375,
2022-08-29,17312.900390625,1736.5999755859375,79.95909881591797,97.01000213623047,
2022-08-30,17759.30078125,1723.199951171875,79.96790313720703,91.63999938964844,
2022-08-31,17759.30078125,1712.800048828125,79.68229675292969,89.55000305175781,
2022-09-01,17542.80078125,1696.5999755859375,79.54879760742188,86.61000061035156,
2022-09-02,17539.44921875,1709.800048828125,79.716796875,86.87000274658203,
2022-09-05,17665.80078125,1709.800048828125,79.72450256347656,86.87000274658203,
2022-09-06,17655.599609375,1700.4000244140625,79.78299713134766,86.87999725341797,
2022-09-07,17624.400390625,1715.300048828125,79.89510345458984,81.94000244140625,
2022-09-08,17798.75,1708.0,79.6498031616211,83.54000091552734,
2022-09-09,17833.349609375,1716.199951171875,79.706298828125,86.79000091552734,
2022-09-12,17936.349609375,1728.0999755859375,79.65579986572266,87.77999877929688,
2022-09-13,18070.05078125,1705.0,79.35530090332031,87.30999755859375,
2022-09-14,18003.75,1696.5,79.60240173339844,88.4800033569336,
2022-09-15,17877.400390625,1665.4000244140625,79.45369720458984,85.0999984741211,
2022-09-16,17530.849609375,1671.699951171875,79.8490982055664,85.11000061035156,
2022-09-19,17622.25,1666.199951171875,79.68949890136719,85.7300033569336,
2022-09-20,17816.25,1659.699951171875,79.7074966430664,84.44999694824219,
2022-09-21,17718.349609375,1664.5999755859375,79.76270294189453,82.94000244140625,
2022-09-22,17629.80078125,1670.800048828125,80.05069732666016,83.48999786376953,
2022-09-23,17327.349609375,1645.300048828125,81.06220245361328,78.73999786376953,
2022-09-26,17016.30078125,1623.300048828125,81.25479888916016,76.70999908447266,
2022-09-27,17007.400390625,1626.699951171875,81.61579895019531,78.5,
2022-09-28,16858.599609375,1660.4000244140625,81.72460174560547,82.1500015258789,
2022-09-29,16818.099609375,1658.5,81.42870330810547,81.2300033569336,
2022-09-30,17094.349609375,1662.4000244140625,81.48059844970703,79.48999786376953,
2022-10-03,16887.349609375,1692.9000244140625,81.52130126953125,83.62999725341797,
2022-10-04,17274.30078125,1721.0999755859375,81.49500274658203,86.5199966430664,
2022-10-05,17274.30078125,1711.4000244140625,81.46549987792969,87.76000213623047,
2022-10-06,17331.80078125,1711.699951171875,81.6488037109375,88.44999694824219,
2022-10-07,17314.650390625,1700.5,82.3489990234375,92.63999938964844,
2022-10-10,17241.0,1667.300048828125,82.8322982788086,91.12999725341797,
2022-10-11,16983.55078125,1678.699951171875,82.42070007324219,89.3499984741211,
2022-10-12,17123.599609375,1670.300048828125,82.2739028930664,87.2699966430664,
2022-10-13,17014.349609375,1670.0,82.19999694824219,89.11000061035156,
2022-10-14,17185.69921875,1641.699951171875,82.19210052490234,85.61000061035156,
2022-10-17,17311.80078125,1657.0,82.41280364990234,85.45999908447266,
2022-10-18,17486.94921875,1649.0,82.1947021484375,82.81999969482422,
2022-10-19,17512.25,1627.5,82.2863998413086,85.55000305175781,
2022-10-20,17563.94921875,1630.800048828125,82.99700164794922,85.9800033569336,
2022-10-21,17576.30078125,1651.0,82.82569885253906,85.05000305175781,
2022-10-24,17730.75,1648.699951171875,82.54129791259766,84.58000183105469,
2022-10-25,17656.349609375,1652.800048828125,82.7614974975586,85.31999969482422,
2022-10-26,17656.349609375,1664.0,82.44529724121094,87.91000366210938,
2022-10-27,17736.94921875,1660.699951171875,82.04959869384766,89.08000183105469,
2022-10-28,17786.80078125,1639.5999755859375,82.44249725341797,87.9000015258789,
2022-10-31,18012.19921875,1635.9000244140625,82.23919677734375,86.52999877929688,
2022-11-01,18145.400390625,1645.0,82.72899627685547,88.37000274658203,
2022-11-02,18082.849609375,1645.699951171875,82.68450164794922,90.0,
2022-11-03,18052.69921875,1627.300048828125,82.88839721679688,88.16999816894531,
2022-11-04,18117.150390625,1672.5,82.68180084228516,92.61000061035156,
2022-11-07,18202.80078125,1676.5,81.9749984741211,91.79000091552734,
2022-11-08,18202.80078125,1712.0999755859375,81.82599639892578,88.91000366210938,
2022-11-09,18157.0,1710.0999755859375,81.40519714355469,85.83000183105469,
2022-11-10,18028.19921875,1750.300048828125,81.34380340576172,86.47000122070312,
2022-11-11,18349.69921875,1766.0,80.48290252685547,88.95999908447266,
2022-11-14,18329.150390625,1773.5999755859375,80.49700164794922,85.87000274658203,
